state,includes_jails,inmate_pop_13,inmate_pop_14,state_pop_13,state_pop_14
AL,0,26825,26145,4833996,4849377
AK,1,5081,6323,737259,736732
AZ,0,41031,42136,6634997,6731484
AR,0,14295,15250,2958765,2966369
CA,0,134339,134430,38431393,38802500
CO,0,20184,20469,5272086,5355866
CT,1,17319,16814,3599341,3596677
DE,1,6798,6730,925240,935614
FL,0,100940,100873,19600311,19893297
GA,0,53701,52719,9994759,10097343
HI,1,5173,5390,1408987,1419561
ID,0,7219,7497,1612843,1634464
IL,0,48653,48278,12890552,12880580
IN,0,28495,32493,6570713,6596855
IA,0,8707,8845,3092341,3107126
KS,0,9610,9539,2895801,2904021
KY,0,12141,12114,4399583,4413457
LA,0,18794,18710,4629284,4649676
ME,0,2073,2199,1328702,1330089
MD,0,21705,21266,5938737,5976407
MA,0,10622,10447,6708874,6745408
MI,0,43704,43359,9898193,9909877
MN,0,9391,9576,5422060,5457173
MS,0,15591,13069,2992206,2994079
MO,0,31499,31903,6044917,6063589
MT,0,3125,3119,1014864,1023579
NE,0,5012,5228,1868969,1881503
NV,0,12789,12693,2791494,2839099
NH,0,2623,2723,1322616,1326813
NJ,0,22263,21394,8911502,8938175
NM,0,6767,6948,2086895,2085572
NY,0,53312,52362,19695680,19746227
NC,0,37176,37348,9848917,9943964
ND,0,1576,1696,723857,739482
OH,0,51711,51521,11572005,11594163
OK,0,25364,26493,3853118,3878051
OR,0,14605,14492,3928068,3970239
PA,0,49971,49174,12781296,12787209
RI,1,3168,3133,1053354,1055173
SC,0,21534,20948,4771929,4832482
SD,0,3612,3507,845510,853175
TN,0,20758,20815,6497269,6549352
TX,0,155377,154247,26505637,26956958
UT,0,5382,5307,2902787,2942902
VT,1,2078,1979,626855,626562
VI,0,29985,30050,8270345,8326289
WA,0,17760,17180,6973742,7061530
WV,0,5708,5867,1853595,1850326
WI,0,22443,22572,5742953,5757564
WY,0,2288,2369,583223,584153
